INSERT INTO Employee VALUES
('9870028105', 'Regular Employee'),
('2074058879', 'Regular Employee'),
('7368744686', 'Administrative Personnel'),
('5816781029', 'Pharmacist'),
('2384479593', 'Nurse'),
('6191270111', 'Regular Employee'),
('5512818457', 'Administrative Personnel'),
('3038358153', 'Nurse'),
('5674825256', 'Doctor'),
('2392884224', 'Security Personnel'),
('9235308854', 'Receptionist'),
('1039909533', 'Security Personnel'),
('1699202920', 'Administrative Personnel'),
('6418162824', 'Regular Employee'),
('3343857916', 'Administrative Personnel'),
('0384470272', 'Cashier'),
('4888648845', 'Pharmacist'),
('6925579788', 'Security Personnel'),
('9919248082', 'Pharmacist'),
('8178830355', 'Regular Employee'),
('6102639941', 'Regular Employee'),
('8303239776', 'Doctor'),
('5988056144', 'Nurse'),
('4485217149', 'Doctor'),
('2378882656', 'Cashier'),
('7772532255', 'Administrative Personnel'),
('1182408760', 'Security Personnel'),
('5422291474', 'Nurse'),
('8434897983', 'Administrative Personnel'),
('7904628160', 'Regular Employee'),
('9207961316', 'Cashier');

INSERT INTO Employee VALUES
('0130487027', 'Regular Employee'),
('2197446962', 'Cashier'),
('8073547744', 'Regular Employee'),
('8768124438', 'Nurse'),
('9135494233', 'Administrative Personnel'),
('3814772084', 'Nurse'),
('0341598106', 'Doctor'),
('2496322406', 'Receptionist'),
('0304731548', 'Administrative Personnel'),
('4801152883', 'Administrative Personnel'),
('4871219911', 'Administrative Personnel'),
('0204192927', 'Doctor'),
('4861230803', 'Security Personnel'),
('9902151853', 'Pharmacist'),
('8797385795', 'Regular Employee'),
('2128038056', 'Nurse'),
('6524526199', 'Administrative Personnel'),
('1352823733', 'Cashier'),
('0776829885', 'Cashier'),
('2154860460', 'Pharmacist'),
('2732540415', 'Administrative Personnel'),
('2490596162', 'Security Personnel'),
('7940459085', 'Security Personnel'),
('5740615916', 'Receptionist'),
('1765750704', 'Receptionist'),
('1267379347', 'Administrative Personnel'),
('6490119626', 'Regular Employee'),
('9120812510', 'Cashier'),
('7278856415', 'Security Personnel'),
('0681955813', 'Receptionist'),
('7823794112', 'Pharmacist'),
('4034981294', 'Receptionist'),
('7861366821', 'Doctor'),
('5771599265', 'Security Personnel'),
('4323716742', 'Cashier');

INSERT INTO Employee VALUES
('5101091349', 'Doctor'),
('5025932156', 'Regular Employee'),
('6103425184', 'Security Personnel'),
('1725668645', 'Receptionist'),
('0758897617', 'Pharmacist'),
('1437617684', 'Nurse'),
('5566955185', 'Administrative Personnel'),
('3728829105', 'Nurse'),
('6208351526', 'Doctor'),
('7286605123', 'Administrative Personnel'),
('6381494826', 'Administrative Personnel'),
('9075522100', 'Administrative Personnel'),
('6017291583', 'Cashier'),
('9083880438', 'Cashier'),
('2320360343', 'Cashier'),
('2417122923', 'Pharmacist'),
('7141395572', 'Regular Employee'),
('6111729254', 'Administrative Personnel'),
('1941208331', 'Pharmacist'),
('1838395198', 'Nurse'),
('5812533099', 'Pharmacist'),
('9493763584', 'Regular Employee'),
('7234224893', 'Security Personnel'),
('7396175814', 'Administrative Personnel'),
('5821185036', 'Administrative Personnel'),
('5903005287', 'Administrative Personnel'),
('2714625655', 'Regular Employee'),
('4477627756', 'Pharmacist'),
('7003484987', 'Administrative Personnel'),
('1412689084', 'Doctor'),
('6741457672', 'Pharmacist'),
('2062687888', 'Administrative Personnel'),
('2369700059', 'Doctor'),
('3022670114', 'Doctor'),
('3290038713', 'Receptionist');

INSERT INTO Employee VALUES
('7387197336', 'Receptionist'),
('0864973267', 'Security Personnel'),
('2111558385', 'Regular Employee'),
('2501863642', 'Administrative Personnel'),
('2194541688', 'Nurse'),
('1023717835', 'Pharmacist'),
('3636179705', 'Administrative Personnel'),
('6218900298', 'Cashier'),
('4595384037', 'Pharmacist'),
('8472506615', 'Administrative Personnel'),
('4957309614', 'Security Personnel'),
('4609387889', 'Security Personnel'),
('2548422980', 'Pharmacist'),
('5267309871', 'Administrative Personnel'),
('8558215119', 'Cashier'),
('3026663744', 'Pharmacist'),
('7864671844', 'Doctor'),
('8459327756', 'Pharmacist'),
('8567982037', 'Security Personnel'),
('8355006755', 'Regular Employee'),
('7947374657', 'Doctor'),
('0799260982', 'Pharmacist'),
('3759006262', 'Cashier'),
('8713403267', 'Receptionist'),
('8702480659', 'Administrative Personnel'),
('8279377933', 'Administrative Personnel'),
('1203346636', 'Doctor'),
('5101719368', 'Doctor'),
('4326566250', 'Receptionist'),
('9847121973', 'Pharmacist'),
('4658338475', 'Administrative Personnel'),
('2832491020', 'Security Personnel'),
('0950918878', 'Regular Employee'),
('9199468968', 'Cashier'),
('1346073439', 'Receptionist');

INSERT INTO Employee VALUES
('5999328014', 'Doctor'),
('5677464228', 'Cashier'),
('6676829233', 'Receptionist'),
('6193775715', 'Receptionist'),
('7537411609', 'Doctor'),
('0318317759', 'Administrative Personnel'),
('5303969822', 'Security Personnel'),
('8886900233', 'Receptionist'),
('0634685889', 'Nurse'),
('8203767699', 'Receptionist'),
('4204650741', 'Regular Employee'),
('8916068486', 'Cashier'),
('3400243672', 'Receptionist'),
('8420678606', 'Doctor'),
('4320665724', 'Doctor'),
('0427718933', 'Pharmacist'),
('2694212508', 'Pharmacist'),
('8946759930', 'Regular Employee'),
('9816483354', 'Security Personnel'),
('0209378488', 'Pharmacist'),
('1551084002', 'Security Personnel'),
('9057073701', 'Doctor'),
('7084468251', 'Receptionist'),
('4728061278', 'Regular Employee'),
('6392397178', 'Pharmacist'),
('9143488864', 'Pharmacist'),
('2612459397', 'Regular Employee'),
('6066832189', 'Security Personnel'),
('2903513929', 'Receptionist'),
('4056598173', 'Doctor'),
('8571667966', 'Administrative Personnel'),
('2438254064', 'Administrative Personnel'),
('2506440306', 'Receptionist'),
('2825065872', 'Security Personnel'),
('2058110287', 'Cashier');

INSERT INTO Employee VALUES
('5176283972', 'Regular Employee'),
('0785541846', 'Receptionist'),
('5348037625', 'Pharmacist'),
('3351202478', 'Regular Employee'),
('7585516843', 'Regular Employee'),
('2948747446', 'Regular Employee'),
('9477361371', 'Pharmacist'),
('3755473873', 'Nurse'),
('6815328418', 'Security Personnel'),
('0121922164', 'Administrative Personnel'),
('6183352962', 'Regular Employee'),
('9787442416', 'Regular Employee'),
('0520041483', 'Nurse'),
('6083630317', 'Regular Employee'),
('0205155706', 'Regular Employee'),
('8648048052', 'Security Personnel'),
('7090717763', 'Pharmacist'),
('0293770067', 'Pharmacist'),
('8867956372', 'Cashier'),
('4055516388', 'Nurse'),
('8009788027', 'Cashier'),
('5107885382', 'Regular Employee'),
('5844878132', 'Nurse'),
('4825911318', 'Receptionist'),
('0186072937', 'Receptionist'),
('6363602708', 'Nurse'),
('5098566686', 'Security Personnel'),
('0624933378', 'Regular Employee'),
('8841448660', 'Cashier'),
('2465798930', 'Security Personnel'),
('2091381428', 'Regular Employee'),
('6068555105', 'Nurse'),
('8240463454', 'Nurse'),
('8117061329', 'Security Personnel'),
('6108704052', 'Cashier');

INSERT INTO Employee VALUES
('1050044666', 'Administrative Personnel'),
('4090730788', 'Doctor'),
('9716781233', 'Doctor'),
('7617955867', 'Doctor'),
('3702899566', 'Receptionist'),
('7148872193', 'Security Personnel'),
('2913034714', 'Security Personnel'),
('4833183602', 'Cashier'),
('1560354651', 'Nurse'),
('4973132158', 'Nurse'),
('3224057396', 'Receptionist'),
('5400718100', 'Receptionist'),
('6835048556', 'Security Personnel'),
('0654635754', 'Regular Employee'),
('1042789566', 'Security Personnel'),
('7293164981', 'Receptionist'),
('3880863379', 'Regular Employee'),
('1693078611', 'Nurse'),
('2665243329', 'Regular Employee'),
('4393663594', 'Regular Employee'),
('4459963520', 'Nurse'),
('9679274052', 'Administrative Personnel'),
('5827394381', 'Security Personnel'),
('5249847861', 'Regular Employee'),
('6154001605', 'Regular Employee'),
('8036760738', 'Pharmacist'),
('9698054341', 'Cashier'),
('4932450357', 'Doctor'),
('3448446601', 'Regular Employee'),
('8485750468', 'Cashier'),
('3899293528', 'Receptionist'),
('1482895944', 'Nurse'),
('5060770902', 'Doctor'),
('4721166772', 'Cashier'),
('1204965848', 'Security Personnel');

INSERT INTO Employee VALUES
('3292888130', 'Cashier'),
('6337985321', 'Doctor'),
('2400176442', 'Doctor'),
('0133762294', 'Pharmacist'),
('9601327476', 'Regular Employee'),
('1108039217', 'Doctor'),
('8364727594', 'Receptionist'),
('4311620556', 'Doctor'),
('4942953805', 'Security Personnel'),
('3570339851', 'Security Personnel'),
('0336211324', 'Pharmacist'),
('2476981425', 'Receptionist'),
('8170891388', 'Security Personnel'),
('0675465834', 'Administrative Personnel'),
('3928321107', 'Doctor'),
('9360929592', 'Security Personnel'),
('3584397276', 'Receptionist'),
('2549023490', 'Doctor'),
('2738210664', 'Security Personnel'),
('7399525127', 'Pharmacist'),
('6170022529', 'Cashier'),
('1989566364', 'Nurse'),
('1249793075', 'Security Personnel'),
('8997315806', 'Doctor'),
('7768578503', 'Administrative Personnel'),
('4421127515', 'Administrative Personnel'),
('8733683533', 'Regular Employee'),
('1773275854', 'Regular Employee'),
('1746473832', 'Nurse'),
('5682958626', 'Doctor'),
('7509746537', 'Regular Employee'),
('8807727190', 'Cashier'),
('7906513972', 'Administrative Personnel'),
('4079330127', 'Administrative Personnel'),
('6673060443', 'Cashier');

INSERT INTO Employee VALUES
('1251295646', 'Pharmacist'),
('6732378558', 'Receptionist'),
('4207000240', 'Pharmacist'),
('1225378343', 'Security Personnel'),
('8766456369', 'Doctor'),
('6919005515', 'Regular Employee'),
('8314827285', 'Pharmacist'),
('9977353156', 'Pharmacist'),
('4941727423', 'Regular Employee'),
('0063418495', 'Regular Employee'),
('3535798235', 'Nurse'),
('7995664300', 'Pharmacist'),
('5696558761', 'Cashier'),
('0295498614', 'Cashier'),
('4169271013', 'Cashier'),
('1260125282', 'Regular Employee'),
('0490794999', 'Security Personnel'),
('8606950035', 'Doctor'),
('0650850104', 'Doctor'),
('1607846219', 'Cashier'),
('9310035396', 'Administrative Personnel'),
('1073991098', 'Administrative Personnel'),
('3735011537', 'Administrative Personnel'),
('3476350484', 'Administrative Personnel'),
('7479850534', 'Administrative Personnel'),
('3855305082', 'Regular Employee'),
('9489508190', 'Administrative Personnel'),
('4535803125', 'Doctor'),
('3575962594', 'Doctor'),
('9250407001', 'Pharmacist'),
('5192653064', 'Nurse'),
('4955915330', 'Cashier'),
('1192830010', 'Doctor'),
('6524524470', 'Regular Employee'),
('3864390660', 'Pharmacist');

